Date,PX_LAST,PX_MID
2/5/2016,2.38,2.38
2/4/2016,2.39,2.39
2/3/2016,2.38,2.38
2/2/2016,2.36,2.36
2/1/2016,2.37,2.37
1/29/2016,2.34,2.34
1/28/2016,2.32,2.32
1/27/2016,2.31,2.31
1/26/2016,2.32,2.32
1/25/2016,2.3,2.3
1/22/2016,2.3,2.3
1/21/2016,2.26,2.26
1/20/2016,2.28,2.28
1/19/2016,2.32,2.32
1/18/2016,2.33,2.33
1/15/2016,2.31,2.31
1/14/2016,2.32,2.32
1/13/2016,2.32,2.32
1/12/2016,2.29,2.29
1/11/2016,2.29,2.29
1/8/2016,2.3,2.3
1/7/2016,2.29,2.29
1/6/2016,2.3,2.3
1/5/2016,2.31,2.31
1/4/2016,2.29,2.29
12/30/2015,2.33,2.33
12/29/2015,2.37,2.37
12/28/2015,2.39,2.39
12/23/2015,2.34,2.34
12/22/2015,2.32,2.32
12/21/2015,2.3,2.3
12/18/2015,2.34,2.34
12/17/2015,2.36,2.36
12/16/2015,2.34,2.34
12/15/2015,2.36,2.36
12/14/2015,2.35,2.35
12/11/2015,2.35,2.35
12/10/2015,2.39,2.39
12/9/2015,2.41,2.41
12/8/2015,2.37,2.37
12/7/2015,2.4,2.4
12/4/2015,2.44,2.44
12/3/2015,2.44,2.44
12/2/2015,2.38,2.38
12/1/2015,2.37,2.37
11/30/2015,2.35,2.35
11/27/2015,2.41,2.41
11/26/2015,2.45,2.45
11/25/2015,2.44,2.44
11/24/2015,2.48,2.48
11/23/2015,2.46,2.46
11/19/2015,2.46,2.46
11/18/2015,2.43,2.43
11/17/2015,2.4,2.4
11/16/2015,2.4,2.4
11/13/2015,2.4,2.4
11/12/2015,2.44,2.44
11/11/2015,2.41,2.41
11/10/2015,2.38,2.38
11/9/2015,2.37,2.37
11/6/2015,2.37,2.37
11/5/2015,2.35,2.35
11/4/2015,2.29,2.29
11/3/2015,2.3,2.3
10/30/2015,2.25,2.25
10/29/2015,2.25,2.25
10/28/2015,2.2,2.2
10/27/2015,2.17,2.17
10/26/2015,2.14,2.14
10/23/2015,2.1,2.1
10/22/2015,2.06,2.06
10/21/2015,2.05,2.05
10/20/2015,2.06,2.06
10/19/2015,2.03,2.03
10/16/2015,2.04,2.04
10/15/2015,1.98,1.98
10/14/2015,1.94,1.94
10/13/2015,1.85,1.85
10/9/2015,1.88,1.88
10/8/2015,1.82,1.82
10/7/2015,1.77,1.77
10/6/2015,1.75,1.75
10/5/2015,1.73,1.73
10/2/2015,1.67,1.67
10/1/2015,1.64,1.64
9/30/2015,1.62,1.62
9/29/2015,1.59,1.59
9/28/2015,1.57,1.57
9/25/2015,1.6,1.6
9/24/2015,1.54,1.54
9/23/2015,1.52,1.52
9/22/2015,1.55,1.55
9/21/2015,1.57,1.57
9/18/2015,1.56,1.56
9/17/2015,1.61,1.61
9/16/2015,1.61,1.61
9/15/2015,1.59,1.59
9/14/2015,1.61,1.61
9/11/2015,1.57,1.57
9/10/2015,1.55,1.55
9/9/2015,1.58,1.58
9/8/2015,1.55,1.55
9/4/2015,1.53,1.53
9/3/2015,1.57,1.57
9/2/2015,1.56,1.56
9/1/2015,1.58,1.58
8/31/2015,1.61,1.61
8/28/2015,1.64,1.64
8/27/2015,1.65,1.65
8/26/2015,1.64,1.64
8/25/2015,1.64,1.64
8/24/2015,1.65,1.65
8/21/2015,1.69,1.69
8/20/2015,1.71,1.71
8/19/2015,1.7,1.7
8/18/2015,1.71,1.71
8/17/2015,1.7,1.7
8/14/2015,1.7,1.7
8/13/2015,1.7,1.7
8/12/2015,1.72,1.72
8/11/2015,1.71,1.71
8/10/2015,1.73,1.73
8/7/2015,1.7,1.7
8/6/2015,1.69,1.69
8/5/2015,1.72,1.72
8/4/2015,1.74,1.74
8/3/2015,1.74,1.74
7/31/2015,1.76,1.76
7/30/2015,1.78,1.78
7/29/2015,1.8,1.8
7/28/2015,1.78,1.78
7/27/2015,1.79,1.79
7/24/2015,1.79,1.79
7/23/2015,1.83,1.83
7/22/2015,1.87,1.87
7/21/2015,1.89,1.89
7/20/2015,1.88,1.88
7/17/2015,1.87,1.87
7/16/2015,1.9,1.9
7/15/2015,1.91,1.91
7/14/2015,1.91,1.91
7/13/2015,1.91,1.91
7/10/2015,1.88,1.88
7/8/2015,1.85,1.85
7/7/2015,1.88,1.88
7/6/2015,1.9,1.9
7/3/2015,1.9,1.9
7/2/2015,1.93,1.93
7/1/2015,1.91,1.91
6/30/2015,1.93,1.93
6/29/2015,1.92,1.92
6/26/2015,1.91,1.91
6/25/2015,1.93,1.93
6/24/2015,1.96,1.96
6/23/2015,1.97,1.97
6/22/2015,1.97,1.97
6/19/2015,1.96,1.96
6/18/2015,1.99,1.99
6/17/2015,1.98,1.98
6/16/2015,1.97,1.97
6/15/2015,1.94,1.94
6/12/2015,1.96,1.96
6/11/2015,1.97,1.97
6/10/2015,1.96,1.96
6/9/2015,1.97,1.97
6/8/2015,1.97,1.97
6/5/2015,1.94,1.94
6/3/2015,1.97,1.97
6/2/2015,1.97,1.97
6/1/2015,1.94,1.94
5/29/2015,1.93,1.93
5/28/2015,1.96,1.96
5/27/2015,1.97,1.97
5/26/2015,1.96,1.96
5/25/2015,2,2
5/22/2015,2,2
5/21/2015,2.02,2.02
5/20/2015,2.03,2.03
5/19/2015,2.01,2.01
5/18/2015,2.02,2.02
5/15/2015,2.04,2.04
5/14/2015,2.03,2.03
5/13/2015,2.01,2.01
5/12/2015,2.02,2.02
5/11/2015,2,2
5/8/2015,2.04,2.04
5/7/2015,2.04,2.04
5/6/2015,2.02,2.02
5/5/2015,2,2
5/4/2015,1.99,1.99
4/30/2015,2.05,2.05
4/29/2015,2.09,2.09
4/28/2015,2.11,2.11
4/27/2015,2.12,2.12
4/24/2015,2.09,2.09
4/23/2015,2.07,2.07
4/22/2015,2.04,2.04
4/20/2015,2.03,2.03
4/17/2015,2.03,2.03
4/16/2015,2.04,2.04
4/15/2015,2.02,2.02
4/14/2015,2.01,2.01
4/13/2015,1.97,1.97
4/10/2015,1.99,1.99
4/9/2015,2,2
4/8/2015,2.01,2.01
4/7/2015,1.97,1.97
4/6/2015,1.97,1.97
4/2/2015,1.97,1.97
4/1/2015,1.94,1.94
3/31/2015,1.92,1.92
3/30/2015,1.91,1.91
3/27/2015,1.89,1.89
3/26/2015,1.93,1.93
3/25/2015,1.92,1.92
3/24/2015,1.96,1.96
3/23/2015,1.95,1.95
3/20/2015,1.89,1.89
3/19/2015,1.85,1.85
3/18/2015,1.9,1.9
3/17/2015,1.88,1.88
3/16/2015,1.89,1.89
3/13/2015,1.88,1.88
3/12/2015,1.94,1.94
3/11/2015,1.98,1.98
3/10/2015,1.99,1.99
3/9/2015,1.98,1.98
3/6/2015,2.03,2.03
3/5/2015,2.06,2.06
3/4/2015,2.07,2.07
3/3/2015,2.11,2.11
3/2/2015,2.13,2.13
2/27/2015,2.16,2.16
2/26/2015,2.14,2.14
2/25/2015,2.15,2.15
2/24/2015,2.17,2.17
2/23/2015,2.14,2.14
2/20/2015,2.15,2.15
2/19/2015,2.15,2.15
2/18/2015,2.17,2.17
2/13/2015,2.18,2.18
2/12/2015,2.18,2.18
2/11/2015,2.15,2.15
2/10/2015,2.19,2.19
2/9/2015,2.23,2.23
2/6/2015,2.24,2.24
2/5/2015,2.26,2.26
2/4/2015,2.26,2.26
2/3/2015,2.31,2.31
2/2/2015,2.29,2.29
1/30/2015,2.3,2.3
1/29/2015,2.37,2.37
1/28/2015,2.4,2.4
1/27/2015,2.4,2.4
1/26/2015,2.39,2.39
1/23/2015,2.41,2.41
1/22/2015,2.41,2.41
1/21/2015,2.38,2.38
1/20/2015,2.37,2.37
1/19/2015,2.34,2.34
1/16/2015,2.36,2.36
